Obchodný deň;Číslo periódy;Perióda;Objednávky na nákup (MWh);Objednávky na predaj (MWh);Zobchodovaný nákup (MWh);Zobchodovaný predaj (MWh);Rozdiel zobchodovaných  množstiev (MWh);Priemerná cena obchodov (EUR/MWh);Váženy priemer cien všetkých obchodov (EUR/MWh);Minimálna cena (EUR/MWh);Maximálna cena (EUR/MWh);Posledná cena (EUR/MWh);Zobchodované množstvo (MWh);Vážený priemer cien zobchodovaných jednoduchých objednávok (EUR/MWh);Zobchodované množstvo jednoduchých objednávok (MWh)
10.8.2026;1;00:00 - 01:00;3686,9;110,6;1,5;1,5;0,0;110,30;110,30;110,30;110,30;110,30;3,0;110,30;3,0
10.8.2026;2;01:00 - 02:00;5960,1;72,1;37,5;13,4;24,1;134,07;133,55;114,72;145,00;125,00;50,9;133,55;50,9
10.8.2026;3;02:00 - 03:00;125,1;78,4;30,2;11,8;18,4;128,17;129,17;120,04;134,41;126,02;42,0;129,17;42,0
10.8.2026;4;03:00 - 04:00;123,3;80,5;32,5;10,5;22,0;125,25;124,36;120,50;131,04;121,72;43,0;124,36;43,0
10.8.2026;5;04:00 - 05:00;127,4;109,4;35,8;20,1;15,7;129,11;127,76;124,00;133,00;133,00;55,9;127,76;55,9
10.8.2026;6;05:00 - 06:00;82,5;71,6;3,5;1,5;2,0;139,52;140,24;137,19;141,32;137,19;5,0;140,24;5,0
10.8.2026;7;06:00 - 07:00;146,6;94,3;7,6;5,1;2,5;158,42;156,25;133,88;167,60;167,60;12,7;156,25;12,7
10.8.2026;8;07:00 - 08:00;663,8;155,5;33,8;2,7;31,1;159,33;160,26;150,00;166,13;150,00;36,5;160,26;36,5
10.8.2026;9;08:00 - 09:00;16420,3;273,2;39,6;16,0;23,6;158,78;160,16;149,00;165,00;161,00;55,6;160,16;55,6
10.8.2026;10;09:00 - 10:00;6208,5;11610,7;74,6;15,5;59,1;138,81;138,68;131,50;142,25;139,38;90,1;138,68;90,1
10.8.2026;11;10:00 - 11:00;4334,0;3154,0;79,6;51,9;27,7;112,71;119,86;105,68;145,00;145,00;131,5;119,86;131,5
10.8.2026;12;11:00 - 12:00;6277,0;6139,7;89,2;53,9;35,3;89,51;89,21;79,28;104,43;92,00;143,1;89,21;143,1
10.8.2026;13;12:00 - 13:00;2487,2;6529,4;185,9;75,3;110,6;76,58;76,42;31,25;100,32;56,27;261,2;76,42;261,2
10.8.2026;14;13:00 - 14:00;31306,3;10439,9;121,2;104,1;17,1;77,82;78,15;60,00;100,75;66,80;225,3;78,15;225,3
10.8.2026;15;14:00 - 15:00;19944,0;5278,8;159,8;113,5;46,3;76,65;77,15;45,16;111,19;45,16;273,3;77,15;273,3
10.8.2026;16;15:00 - 16:00;1125,1;1259,9;81,5;58,8;22,7;97,77;97,94;81,02;130,00;130,00;140,3;97,94;140,3
10.8.2026;17;16:00 - 17:00;6334,7;776,7;104,4;90,0;14,4;131,68;130,36;117,13;143,82;140,31;194,4;130,36;194,4
10.8.2026;18;17:00 - 18:00;94896,7;686,2;94,9;43,9;51,0;181,83;187,76;166,00;236,12;236,12;138,8;187,76;138,8
10.8.2026;19;18:00 - 19:00;31897,6;24067,8;114,8;87,4;27,4;211,55;206,90;155,00;250,00;214,00;202,2;206,90;202,2
10.8.2026;20;19:00 - 20:00;174104,6;5271,5;53,9;110,9;-57,0;292,59;290,75;246,37;332,41;290,00;164,8;290,75;164,8
10.8.2026;21;20:00 - 21:00;165370,4;9639,0;71,1;90,4;-19,3;245,61;243,68;194,86;305,11;243,58;161,5;243,68;161,5
10.8.2026;22;21:00 - 22:00;41498,9;14885,4;103,2;87,0;16,2;222,03;214,77;195,01;299,99;299,99;190,2;214,77;190,2
10.8.2026;23;22:00 - 23:00;38380,7;9032,2;51,1;47,9;3,2;221,41;228,46;205,03;250,00;234,95;99,0;228,46;99,0
10.8.2026;24;23:00 - 00:00;7540,6;153,0;32,8;25,0;7,8;218,10;232,79;191,60;250,00;213,03;57,8;232,79;57,8
11.8.2026;1;00:00 - 01:00;7118,6;57,9;24,1;1,3;22,8;178,69;179,58;175,00;180,11;177,89;25,4;179,58;25,4
11.8.2026;2;01:00 - 02:00;7979,0;73,5;28,8;2,0;26,8;160,55;160,96;157,67;165,14;165,00;30,8;160,96;30,8
11.8.2026;3;02:00 - 03:00;4176,2;84,4;24,4;3,7;20,7;148,17;147,51;144,03;153,85;152,39;28,1;147,51;28,1
11.8.2026;4;03:00 - 04:00;84,2;49,8;21,1;0,4;20,7;140,46;140,29;135,76;142,72;140,52;21,5;140,29;21,5
11.8.2026;5;04:00 - 05:00;93,1;73,0;18,2;5,7;12,5;142,27;142,32;141,04;146,01;142,93;23,9;142,32;23,9
11.8.2026;6;05:00 - 06:00;71,0;54,3;18,7;0,1;18,6;158,81;158,55;157,31;164,05;164,05;18,8;158,55;18,8
11.8.2026;7;06:00 - 07:00;89,6;126,4;3,7;6,0;-2,3;165,74;166,28;162,22;172,25;164,80;9,7;166,28;9,7
11.8.2026;8;07:00 - 08:00;136,5;105,3;10,0;8,2;1,8;162,61;163,60;157,90;165,00;164,29;18,2;163,60;18,2
11.8.2026;9;08:00 - 09:00;15618,7;6956,7;8,1;0,8;7,3;149,65;149,76;144,80;151,78;150,00;8,9;149,76;8,9
11.8.2026;10;09:00 - 10:00;5093,6;2084,2;65,9;30,9;35,0;124,91;121,82;104,09;135,42;121,99;96,8;121,82;96,8
11.8.2026;11;10:00 - 11:00;12352,9;3287,4;148,0;64,3;83,7;73,89;73,20;55,00;85,00;55,00;212,3;73,20;212,3
11.8.2026;12;11:00 - 12:00;15132,3;1152,9;169,5;113,5;56,0;78,31;75,41;63,12;135,00;63,12;283,0;75,41;283,0
11.8.2026;13;12:00 - 13:00;31534,3;25108,9;220,4;148,6;71,8;77,26;78,83;59,80;101,00;94,19;369,0;78,83;369,0
11.8.2026;14;13:00 - 14:00;12881,5;2772,5;109,3;98,2;11,1;76,98;78,39;60,00;99,90;99,90;207,5;78,39;207,5
11.8.2026;15;14:00 - 15:00;11152,5;1311,9;97,7;105,4;-7,7;94,71;95,11;39,96;121,65;109,00;203,1;95,11;203,1
11.8.2026;16;15:00 - 16:00;1765,3;1637,4;164,1;109,3;54,8;115,21;116,52;90,00;133,99;115,01;273,4;116,52;273,4
11.8.2026;17;16:00 - 17:00;1336,9;2314,8;65,5;90,8;-25,3;131,98;131,58;114,64;152,17;144,99;156,3;131,58;156,3
11.8.2026;18;17:00 - 18:00;124336,4;2912,1;97,8;65,2;32,6;207,31;209,92;178,44;230,00;218,00;163,0;209,92;163,0
11.8.2026;19;18:00 - 19:00;23869,7;2734,2;128,1;159,9;-31,8;211,65;210,94;201,05;230,00;207,01;288,0;210,94;288,0
11.8.2026;20;19:00 - 20:00;64501,1;2334,3;129,1;140,2;-11,1;219,31;218,90;203,00;261,98;261,98;269,3;218,90;269,3
11.8.2026;21;20:00 - 21:00;1224,7;2909,2;106,1;173,1;-67,0;235,91;235,22;225,30;270,74;241,18;279,2;235,22;279,2
11.8.2026;22;21:00 - 22:00;468,3;939,6;88,7;117,9;-29,2;214,49;214,23;204,00;234,30;205,70;206,6;214,23;206,6
11.8.2026;23;22:00 - 23:00;623,0;490,8;75,6;157,3;-81,7;206,79;204,10;185,28;249,00;249,00;232,9;204,10;232,9
11.8.2026;24;23:00 - 00:00;466,6;245,6;76,2;26,4;49,8;194,14;193,79;178,95;223,53;220,00;102,6;193,79;102,6
12.8.2026;1;00:00 - 01:00;482,9;99,5;20,7;7,9;12,8;160,87;160,80;157,58;166,58;165,00;28,6;160,80;28,6
12.8.2026;2;01:00 - 02:00;90,0;64,3;9,7;6,0;3,7;149,72;149,77;147,42;152,46;148,88;15,7;149,77;15,7
12.8.2026;3;02:00 - 03:00;66,4;69,9;0,6;4,5;-3,9;144,66;145,88;142,86;152,26;146,19;5,1;145,88;5,1
12.8.2026;4;03:00 - 04:00;82,7;42,5;1,5;0,2;1,3;140,99;140,95;140,23;142,20;142,10;1,7;140,95;1,7
12.8.2026;5;04:00 - 05:00;120,5;44,7;0,9;3,0;-2,1;141,19;141,12;140,30;142,29;142,29;3,9;141,12;3,9
12.8.2026;6;05:00 - 06:00;72,4;79,0;2,5;9,9;-7,4;157,16;157,32;147,10;163,53;162,64;12,4;157,32;12,4
12.8.2026;7;06:00 - 07:00;96,9;70,2;10,6;12,7;-2,1;172,46;171,71;167,40;177,00;177,00;23,3;171,71;23,3
12.8.2026;8;07:00 - 08:00;128,1;147,5;5,6;5,7;-0,1;165,58;166,57;134,44;171,00;134,44;11,3;166,57;11,3
12.8.2026;9;08:00 - 09:00;7582,3;9418,9;13,9;131,4;-117,5;142,97;142,28;140,00;155,57;151,30;145,3;142,28;145,3
12.8.2026;10;09:00 - 10:00;2157,3;235,5;72,5;47,8;24,7;112,19;111,26;96,41;120,40;97,91;120,3;111,26;120,3
12.8.2026;11;10:00 - 11:00;13481,1;1684,3;166,9;68,2;98,7;65,44;66,20;54,21;80,00;68,00;235,1;66,20;235,1
12.8.2026;12;11:00 - 12:00;5045,3;1005,7;105,4;23,6;81,8;27,06;26,82;20,02;42,69;30,00;129,0;26,82;129,0
12.8.2026;13;12:00 - 13:00;39680,4;17096,6;156,3;86,1;70,2;25,07;24,57;6,11;53,63;11,00;242,4;24,57;242,4
12.8.2026;14;13:00 - 14:00;24301,7;18246,3;271,2;205,0;66,2;18,84;20,52;-0,01;57,32;-0,01;476,2;20,52;476,2
12.8.2026;15;14:00 - 15:00;13503,4;9030,2;170,2;79,6;90,6;20,45;18,66;-1,50;60,00;-0,50;249,8;18,66;249,8
12.8.2026;16;15:00 - 16:00;3524,6;1192,1;118,0;105,0;13,0;39,75;39,29;20,45;90,55;20,45;223,0;39,29;223,0
