Obchodný deň;Číslo periódy;Perióda;Objednávky na nákup (MWh);Objednávky na predaj (MWh);Zobchodovaný nákup (MWh);Zobchodovaný predaj (MWh);Rozdiel zobchodovaných  množstiev (MWh);Priemerná cena obchodov (EUR/MWh);Váženy priemer cien všetkých obchodov (EUR/MWh);Minimálna cena (EUR/MWh);Maximálna cena (EUR/MWh);Posledná cena (EUR/MWh);Zobchodované množstvo (MWh);Vážený priemer cien zobchodovaných jednoduchých objednávok (EUR/MWh);Zobchodované množstvo jednoduchých objednávok (MWh)
9.8.2026;5;04:00 - 05:00;78,3;120,2;2,5;1,0;1,5;95,27;79,23;38,86;133,26;133,26;3,5;79,23;3,5
9.8.2026;6;05:00 - 06:00;86,8;130,0;2,1;1,3;0,8;105,63;98,81;36,01;140,00;140,00;3,4;98,81;3,4
9.8.2026;7;06:00 - 07:00;73,6;121,5;3,5;2,0;1,5;113,14;100,50;27,75;145,00;145,00;5,5;100,50;5,5
9.8.2026;8;07:00 - 08:00;149,4;126,2;45,0;9,1;35,9;119,41;120,05;78,89;127,38;125,91;54,1;120,05;54,1
9.8.2026;9;08:00 - 09:00;17985,9;189,0;25,0;20,9;4,1;99,59;94,43;82,17;114,49;108,06;45,9;94,43;45,9
9.8.2026;10;09:00 - 10:00;3041,4;3339,5;45,9;11,5;34,4;33,81;36,16;7,72;49,20;32,14;57,4;36,16;57,4
9.8.2026;11;10:00 - 11:00;1202,4;247,4;96,4;42,1;54,3;0,29;-0,05;-8,97;6,97;-8,97;138,5;-0,05;138,5
9.8.2026;12;11:00 - 12:00;18994,3;223,5;89,4;54,2;35,2;-2,55;-1,71;-7,84;3,01;-4,47;143,6;-1,71;143,6
9.8.2026;13;12:00 - 13:00;4884,8;1527,1;127,7;49,4;78,3;-5,03;-3,28;-10,51;1,21;-9,30;177,1;-3,28;177,1
9.8.2026;14;13:00 - 14:00;25397,6;628,1;71,7;50,2;21,5;-6,16;-5,93;-12,85;1,04;-5,00;121,9;-5,93;121,9
9.8.2026;15;14:00 - 15:00;12761,1;403,7;120,3;81,1;39,2;-3,95;-3,01;-16,50;5,01;-1,00;201,4;-3,01;201,4
9.8.2026;16;15:00 - 16:00;20849,7;21598,1;86,5;40,5;46,0;0,46;0,38;-2,90;6,68;1,90;127,0;0,38;127,0
9.8.2026;17;16:00 - 17:00;2929,9;490,9;55,9;66,3;-10,4;39,60;39,54;0,21;60,00;60,00;122,2;39,54;122,2
9.8.2026;18;17:00 - 18:00;42342,9;20047,3;53,0;34,0;19,0;122,64;121,23;101,17;132,99;130,71;87,0;121,23;87,0
9.8.2026;19;18:00 - 19:00;2259,3;20021,7;62,9;33,1;29,8;151,72;151,65;146,69;155,00;152,10;96,0;151,65;96,0
9.8.2026;20;19:00 - 20:00;774,7;375,8;48,3;124,0;-75,7;158,00;157,26;148,15;178,95;161,67;172,3;157,26;172,3
9.8.2026;21;20:00 - 21:00;6313,4;5631,5;47,1;147,4;-100,3;172,13;171,92;161,15;199,99;199,99;194,5;171,92;194,5
9.8.2026;22;21:00 - 22:00;8296,9;350,6;73,4;134,8;-61,4;166,76;166,50;161,76;175,82;169,29;208,2;166,50;208,2
9.8.2026;23;22:00 - 23:00;20907,2;15793,9;48,1;12,0;36,1;159,09;159,65;152,58;168,61;164,15;60,1;159,65;60,1
9.8.2026;24;23:00 - 00:00;886,6;2896,3;69,4;87,2;-17,8;151,62;152,23;140,00;159,00;140,00;156,6;152,23;156,6
10.8.2026;1;00:00 - 01:00;3686,9;110,6;1,5;1,5;0,0;110,30;110,30;110,30;110,30;110,30;3,0;110,30;3,0
10.8.2026;2;01:00 - 02:00;5960,1;72,1;37,5;13,4;24,1;134,07;133,55;114,72;145,00;125,00;50,9;133,55;50,9
10.8.2026;3;02:00 - 03:00;125,1;78,4;30,2;11,8;18,4;128,17;129,17;120,04;134,41;126,02;42,0;129,17;42,0
10.8.2026;4;03:00 - 04:00;123,3;80,5;32,5;10,5;22,0;125,25;124,36;120,50;131,04;121,72;43,0;124,36;43,0
10.8.2026;5;04:00 - 05:00;127,4;109,4;35,8;20,1;15,7;129,11;127,76;124,00;133,00;133,00;55,9;127,76;55,9
10.8.2026;6;05:00 - 06:00;82,5;71,6;3,5;1,5;2,0;139,52;140,24;137,19;141,32;137,19;5,0;140,24;5,0
10.8.2026;7;06:00 - 07:00;146,6;94,3;7,6;5,1;2,5;158,42;156,25;133,88;167,60;167,60;12,7;156,25;12,7
10.8.2026;8;07:00 - 08:00;663,8;155,5;33,8;2,7;31,1;159,33;160,26;150,00;166,13;150,00;36,5;160,26;36,5
10.8.2026;9;08:00 - 09:00;16420,3;273,2;39,6;16,0;23,6;158,78;160,16;149,00;165,00;161,00;55,6;160,16;55,6
10.8.2026;10;09:00 - 10:00;6208,5;11610,7;74,6;15,5;59,1;138,81;138,68;131,50;142,25;139,38;90,1;138,68;90,1
10.8.2026;11;10:00 - 11:00;4334,0;3154,0;79,6;51,9;27,7;112,71;119,86;105,68;145,00;145,00;131,5;119,86;131,5
10.8.2026;12;11:00 - 12:00;6277,0;6139,7;89,2;53,9;35,3;89,51;89,21;79,28;104,43;92,00;143,1;89,21;143,1
10.8.2026;13;12:00 - 13:00;2487,2;6529,4;185,9;75,3;110,6;76,58;76,42;31,25;100,32;56,27;261,2;76,42;261,2
10.8.2026;14;13:00 - 14:00;31306,3;10439,9;121,2;104,1;17,1;77,82;78,15;60,00;100,75;66,80;225,3;78,15;225,3
10.8.2026;15;14:00 - 15:00;19944,0;5278,8;159,8;113,5;46,3;76,65;77,15;45,16;111,19;45,16;273,3;77,15;273,3
10.8.2026;16;15:00 - 16:00;1125,1;1259,9;81,5;58,8;22,7;97,77;97,94;81,02;130,00;130,00;140,3;97,94;140,3
10.8.2026;17;16:00 - 17:00;6334,7;776,7;104,4;90,0;14,4;131,68;130,36;117,13;143,82;140,31;194,4;130,36;194,4
10.8.2026;18;17:00 - 18:00;94896,7;686,2;94,9;43,9;51,0;181,83;187,76;166,00;236,12;236,12;138,8;187,76;138,8
10.8.2026;19;18:00 - 19:00;31897,6;24067,8;114,8;87,4;27,4;211,55;206,90;155,00;250,00;214,00;202,2;206,90;202,2
10.8.2026;20;19:00 - 20:00;174104,6;5271,5;53,9;110,9;-57,0;292,59;290,75;246,37;332,41;290,00;164,8;290,75;164,8
10.8.2026;21;20:00 - 21:00;165370,4;9639,0;71,1;90,4;-19,3;245,61;243,68;194,86;305,11;243,58;161,5;243,68;161,5
10.8.2026;22;21:00 - 22:00;41498,9;14885,4;103,2;87,0;16,2;222,03;214,77;195,01;299,99;299,99;190,2;214,77;190,2
10.8.2026;23;22:00 - 23:00;38380,7;9032,2;51,1;47,9;3,2;221,41;228,46;205,03;250,00;234,95;99,0;228,46;99,0
10.8.2026;24;23:00 - 00:00;7540,6;153,0;32,8;25,0;7,8;218,10;232,79;191,60;250,00;213,03;57,8;232,79;57,8
11.8.2026;1;00:00 - 01:00;7118,6;57,9;24,1;1,3;22,8;178,69;179,58;175,00;180,11;177,89;25,4;179,58;25,4
11.8.2026;2;01:00 - 02:00;7979,0;73,5;28,8;2,0;26,8;160,55;160,96;157,67;165,14;165,00;30,8;160,96;30,8
11.8.2026;3;02:00 - 03:00;4176,2;84,4;24,4;3,7;20,7;148,17;147,51;144,03;153,85;152,39;28,1;147,51;28,1
11.8.2026;4;03:00 - 04:00;84,2;49,8;21,1;0,4;20,7;140,46;140,29;135,76;142,72;140,52;21,5;140,29;21,5
11.8.2026;5;04:00 - 05:00;93,1;73,0;18,2;5,7;12,5;142,27;142,32;141,04;146,01;142,93;23,9;142,32;23,9
11.8.2026;6;05:00 - 06:00;71,0;54,3;18,7;0,1;18,6;158,81;158,55;157,31;164,05;164,05;18,8;158,55;18,8
11.8.2026;7;06:00 - 07:00;89,6;126,4;3,7;6,0;-2,3;165,74;166,28;162,22;172,25;164,80;9,7;166,28;9,7
11.8.2026;8;07:00 - 08:00;136,5;105,3;10,0;8,2;1,8;162,61;163,60;157,90;165,00;164,29;18,2;163,60;18,2
11.8.2026;9;08:00 - 09:00;15618,7;6956,7;8,1;0,8;7,3;149,65;149,76;144,80;151,78;150,00;8,9;149,76;8,9
11.8.2026;10;09:00 - 10:00;5093,6;2084,2;65,9;30,9;35,0;124,91;121,82;104,09;135,42;121,99;96,8;121,82;96,8
11.8.2026;11;10:00 - 11:00;12352,9;3287,4;148,0;64,3;83,7;73,89;73,20;55,00;85,00;55,00;212,3;73,20;212,3
11.8.2026;12;11:00 - 12:00;15132,3;1152,9;169,5;113,5;56,0;78,31;75,41;63,12;135,00;63,12;283,0;75,41;283,0
11.8.2026;13;12:00 - 13:00;31534,3;25108,9;220,4;148,6;71,8;77,26;78,83;59,80;101,00;94,19;369,0;78,83;369,0
11.8.2026;14;13:00 - 14:00;12881,5;2772,5;109,3;98,2;11,1;76,98;78,39;60,00;99,90;99,90;207,5;78,39;207,5
11.8.2026;15;14:00 - 15:00;11152,5;1311,9;97,7;105,4;-7,7;94,71;95,11;39,96;121,65;109,00;203,1;95,11;203,1
11.8.2026;16;15:00 - 16:00;1765,3;1637,4;164,1;109,3;54,8;115,21;116,52;90,00;133,99;115,01;273,4;116,52;273,4
11.8.2026;17;16:00 - 17:00;1336,9;2314,8;65,5;90,8;-25,3;131,98;131,58;114,64;152,17;144,99;156,3;131,58;156,3
11.8.2026;18;17:00 - 18:00;124336,4;2912,1;97,8;65,2;32,6;207,31;209,92;178,44;230,00;218,00;163,0;209,92;163,0
11.8.2026;19;18:00 - 19:00;23869,7;2734,2;128,1;159,9;-31,8;211,65;210,94;201,05;230,00;207,01;288,0;210,94;288,0
11.8.2026;20;19:00 - 20:00;64501,1;2334,3;129,1;140,2;-11,1;219,31;218,90;203,00;261,98;261,98;269,3;218,90;269,3
11.8.2026;21;20:00 - 21:00;1224,7;2909,2;106,1;173,1;-67,0;235,91;235,22;225,30;270,74;241,18;279,2;235,22;279,2
11.8.2026;22;21:00 - 22:00;468,3;939,6;88,7;117,9;-29,2;214,49;214,23;204,00;234,30;205,70;206,6;214,23;206,6
11.8.2026;23;22:00 - 23:00;623,0;490,8;75,6;157,3;-81,7;206,79;204,10;185,28;249,00;249,00;232,9;204,10;232,9
